z/b	c/b
0	0.22
0.01	0.200033317
0.02	0.180266134
0.03	0.160895959
0.04	0.142116332
0.05	0.124114892
0.06	0.107071505
0.07	0.091156463
0.08	0.076528782
0.09	0.063334618
0.1	0.051705803
0.11	0.041758528
0.12	0.033592183
0.13	0.027288363
0.14	0.022910054
0.15	0.020501003
0.16	0.020085279
0.17	0.021667038
0.18	0.025230474
0.19	0.030739982
0.2	0.038140515
0.21	0.047358127
0.22	0.058300719
0.23	0.070858958
0.24	0.084907364
0.25	0.100305571
0.26	0.116899726
0.27	0.134524024
0.28	0.15300237
0.29	0.172150134
0.3	0.191775998
0.31	0.211683868
0.32	0.231674829
0.33	0.251549139
0.34	0.27110822
0.35	0.290156646
0.36	0.308504089
0.37	0.325967228
0.38	0.342371578
0.39	0.357553232
0.4	0.371360499
0.41	0.383655422
0.42	0.394315154
0.43	0.403233187
0.44	0.410320415
0.45	0.415506024
0.46	0.418738201
0.47	0.419984652
0.48	0.419232922
0.49	0.416490523
0.5	0.411784855
